time,x,y,z,xref,yref,zref,ux,uy,uz,dx_dt,dy_dt,dz_dt,rx_est,ry_est,rz_est
37.976784,4.102,0.5273,-0.001661,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,4.649300371972203,-1.2202920976122265,-0.0077498206199941855,2.0960451167010614e-05,-0.0007021867512725978,0.12213937798670399
37.986782,4.131,0.5078,-0.001734,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,3.3998002719924614,-1.705098136404363,-0.0076998406159950045,1.7053567668904018e-06,-0.0007481565906856875,0.1052523325957812
37.996784,4.17,0.4932,-0.001815,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,3.899805185223073,-1.2198670651394323,-0.007699495377693266,3.457875948405806e-05,-0.0006091359584913135,0.09067038165419605
38.006783,4.209,0.4834,-0.001888,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,2.2001600095005074,-1.9553908330297354,-0.0070010201835361,-1.7143889095899478e-06,-0.0007018183270143836,0.1173866648047327
38.016781,4.214,0.4541,-0.001955,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,1.4496201159849136,-1.9553901564150102,-0.006999880559994218,-5.658569249940973e-06,-0.0006553202934848996,0.08814624432350232
38.026783,4.238,0.4443,-0.002028,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,1.6997201359888265,-1.9553901564163993,-0.006899840551994815,1.3322673087585348e-05,-0.0006025235212197661,0.08357633594171104
38.036781,4.248,0.415,-0.002093,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,1.0000000800002056,-3.414806273192731,-0.005850260468011875,1.2073845806304665e-05,-0.0008318818876996698,0.10914838273233912
38.046783,4.258,0.376,-0.002145,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,0.49982503874207396,-3.1696226724465753,-0.005399790250464512,2.2637272991655208e-05,-0.0007636645143300531,0.09369896570571534
38.056782,4.258,0.3516,-0.002201,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-0.49982503874207396,-3.174620922834002,-0.005099895227219237,7.092398257598064e-06,-0.0007231767682032749,0.08497747752097834
38.066784,4.248,0.3125,-0.002247,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-1.950380156014603,-4.150096332003132,-0.003799680303986863,-1.558342980903443e-05,-0.0008756189073130274,0.11385271370756678
38.076782,4.219,0.2686,-0.002277,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-2.950437579640692,-4.395658870736401,-0.0031004550822662097,-2.6234003952223443e-05,-0.0009001014711068234,0.10650820829912255
38.086781,4.189,0.2246,-0.002309,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-3.199780157976136,-4.639696227565821,-0.002600050105487403,-1.4430988426433511e-05,-0.0009217630053711836,0.08866938048511855
38.096783,4.155,0.1758,-0.002329,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-3.9002003120090194,-3.659512292780718,-0.002300120184005383,-1.4285268127203345e-05,-0.0007286872508168496,0.055549716780198585
38.106781,4.111,0.1514,-0.002355,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-4.849820387993617,-3.906413512536716,-0.0017503401400143226,-3.856229838892724e-05,-0.0007367966360320147,0.05989221748005122
38.116783,4.058,0.09766,-0.002364,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-5.600120448003821,-4.884304590751567,-0.0010500600840021856,-4.138902301054588e-05,-0.00090973553933578,0.04276285880836573
38.126781,3.999,0.05371,-0.002376,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-6.349458331989439,-3.9065493985967583,-0.0009001050997433507,-5.143488273345412e-05,-0.000707268359772266,0.006652505385417624
38.136784,3.931,0.01953,-0.002382,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-6.599570851368469,-4.150659217510553,0.0006005700165300221,-5.436845637477034e-05,-0.000726359959855434,0.05092780046418955
38.146782,3.867,-0.0293,-0.002364,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-6.601320264053271,-4.63942788557717,0.0016503300660131864,-4.012872700841593e-05,-0.0008260078813132722,0.056979255851169384
38.15678,3.799,-0.07324,-0.002349,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-8.049500643981105,-4.639901971196902,0.002049780163991405,-7.333823452614752e-05,-0.0008267145207375879,0.03392250697347064
38.166782,3.706,-0.1221,-0.002323,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-7.599110411932287,-4.39263267342276,0.0028999451287326505,-5.2202214713427186e-05,-0.000780437597289476,0.029509131330142976
38.176781,3.647,-0.1611,-0.002291,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-7.549127908058097,-4.394631973577727,0.00364968268684579,-4.1115314670688176e-05,-0.0008008540947742088,0.029705410868297893
38.186783,3.555,-0.21,-0.00225,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-9.250020739999371,-4.639900371195363,0.004350100348003275,-8.456232863017987e-05,-0.000861613805367261,0.017423246193611214
38.196781,3.462,-0.2539,-0.002204,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-9.300000743998567,-3.660292292810901,0.004949860395993738,-8.14722017427053e-05,-0.0006964500702271145,0.004878701502552596
38.206783,3.369,-0.2832,-0.002151,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-9.549597946061283,-3.6600361519312674,0.005399760253463587,-9.31253752204078e-05,-0.0007113272166723223,-0.0009005339489236985
38.216782,3.271,-0.3271,-0.002096,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-9.49961544218715,-3.4201201333350735,0.005549707765086245,-8.818602150163877e-05,-0.0006894616846728711,-0.03696127804129107
38.226784,3.179,-0.3516,-0.00204,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-9.250020740002697,-3.175290254012541,0.006300280504012781,-8.742991978389605e-05,-0.0006596745764645124,-0.022221335250211804
38.236782,3.086,-0.3906,-0.00197,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-9.551910382076699,-3.4156831366278375,0.0073014602920585675,-9.486121968088423e-05,-0.0007420141493930339,-0.008879655931178065
38.24678,2.988,-0.4199,-0.001894,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-9.04992361622979,-2.92985387351964,0.00789945602209037,-8.502529552179716e-05,-0.0006867802811966141,-0.006916439165115418
38.256783,2.905,-0.4492,-0.001812,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-8.049473538714324,-3.4200744115022523,0.008599771076351292,-5.6674757680997824e-05,-0.0008276671855506698,0.00039603187164560794
38.266781,2.827,-0.4883,-0.001722,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-8.799600703982946,-1.955782156430395,0.008000400640014477,-7.406523419593007e-05,-0.0006226428992555973,-0.07003905454004317
38.276783,2.729,-0.4883,-0.001652,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-9.249780739992872,-0.975390078016197,0.008150460652020505,-0.00011044106633900956,-0.0004521047236441816,-0.06219391711236799
38.286781,2.642,-0.5078,-0.001559,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-8.999880719996895,-1.2202920976122265,0.008750220700010788,-0.00011150076234242779,-0.0005502118558751077,-0.050338461803435985
38.296783,2.549,-0.5127,-0.001477,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-8.099235420683314,-0.4899755232716174,0.008649702897319297,-0.00010307020542996267,-0.00044400520726864444,-0.060493532528147154
38.306782,2.48,-0.5176,-0.001386,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-8.551447784682708,-0.4900735134776646,0.008901315238797128,-0.00012982929134091676,-0.0004967089889908745,-0.05223923931568608
38.31678,2.378,-0.5225,-0.001299,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-7.301160584044396,-0.24509801960380884,0.009199800735990749,-0.00011295508520333704,-0.00048020208723822787,-0.04153441752240361
38.326782,2.334,-0.5225,-0.001202,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-5.149967722096164,-0.2400600042004939,0.009649502959807925,-5.8358192117080544e-05,-0.0005499669718065094,-0.018023985261241604
38.336781,2.275,-0.5273,-0.001106,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-5.599810256964034,0.24477028337932438,0.008899765401694834,-8.277833792911618e-05,-0.0005235855786205773,-0.06202026479939404
38.346783,2.222,-0.5176,-0.001024,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-4.849820387993589,1.2201000976043517,0.008600160688008306,-7.83062284546768e-05,-0.0003870867799240824,-0.06798359923092573
38.356781,2.178,-0.5029,-0.000934,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-4.150100332004953,0.4903920392161787,0.009319872745596626,-7.624333661870354e-05,-0.0005774339249094029,-0.01565705286020841
38.366783,2.139,-0.5078,-0.0008376,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-3.699920295996293,1.4657821172304715,0.008759648700784849,-6.882245665737119e-05,-0.0004724189801059813,-0.04984556592296813
38.376781,2.104,-0.4736,-0.0007588,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-3.1999903929498146,3.1749641425109445,0.0072949286507447975,-8.23423906586895e-05,-0.0001926319749347865,-0.09222113013906202
38.386784,2.075,-0.4443,-0.0006917,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-2.6497428503163434,2.4396333355370245,0.0071498633895050595,-9.002050892276016e-05,-0.0003613617935101026,-0.07050514199667546
38.396782,2.051,-0.4248,-0.0006158,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-1.2002400480088085,3.170634126826382,0.006711342268453387,-6.35736899184737e-05,-0.00027558685118953506,-0.07393102620525693
38.40678,2.051,-0.3809,-0.0005575,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-0.4998000399919107,3.17548625402058,0.006564706525189264,-6.87027149865872e-05,-0.00030674600947254915,-0.037697142863105326
38.416782,2.041,-0.3613,-0.0004845,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-0.24976253436656748,3.910389627215464,0.005839270321146617,-7.520935205060208e-05,-0.00022565517592401598,-0.0560229476104549
38.426781,2.046,-0.3027,-0.0004407,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,1.6995551167275238,3.905391376828046,0.005254475025818391,-5.032017267902302e-05,-0.00023834459656352387,-0.027996045650214574
38.436783,2.075,-0.2832,-0.0003794,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,2.699920215996471,3.6606842928262893,0.004959532396780871,-2.5075746590643176e-05,-0.0003507406533506637,-0.023915646296296056
38.446781,2.1,-0.2295,-0.0003415,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,2.450020196000409,4.885194390806866,0.0037949983035993375,-5.8887544908805924e-05,-0.0001442167674499872,-0.031097488687826635
38.456783,2.124,-0.1855,-0.0003035,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,3.6501926358610035,3.6645964461056195,0.003794808930386258,-4.342892019543612e-05,-0.00039680517336250997,0.012892610880593569
