# PCChua Data Acquisition and Control Software
# Date: Fri Aug 29 07:15:00 1997
# 
# Experiment: Data Acquisition from Chua's Circuit.
#
# Ts = 10.00 ms
#
# Columns (10): 
# (time)  (x  y  z)  (xref  yref  zref)  (ux  uy  uz)

1.486782 -2.295e+00 7.861e-01 1.728e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.496783 -2.158e+00 8.203e-01 1.605e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.506782 -2.046e+00 8.252e-01 1.477e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.516782 -1.914e+00 8.350e-01 1.343e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.526783 -1.802e+00 8.496e-01 1.202e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.536783 -1.704e+00 8.447e-01 1.068e-03 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.546782 -1.597e+00 8.447e-01 9.485e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.556782 -1.519e+00 8.398e-01 7.968e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.566782 -1.406e+00 8.203e-01 6.654e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.576782 -1.304e+00 8.057e-01 5.458e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.586782 -1.206e+00 7.764e-01 4.174e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.596783 -1.084e+00 7.422e-01 3.065e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.606782 -1.001e+00 7.227e-01 1.839e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.616783 -8.936e-01 6.836e-01 7.588e-05 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.626782 -8.057e-01 6.299e-01 -1.167e-05 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.636783 -7.129e-01 5.811e-01 -1.051e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.646781 -6.152e-01 5.469e-01 -1.868e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.656782 -5.469e-01 5.029e-01 -2.773e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.666783 -4.688e-01 4.541e-01 -3.415e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.676782 -4.053e-01 4.199e-01 -4.144e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.686782 -3.613e-01 3.711e-01 -4.757e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.696782 -3.027e-01 3.223e-01 -5.224e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.706782 -2.783e-01 2.588e-01 -5.487e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.716783 -2.393e-01 2.197e-01 -5.866e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.726782 -2.100e-01 1.660e-01 -6.041e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.736782 -2.197e-01 1.123e-01 -6.158e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.746781 -2.148e-01 6.348e-02 -6.129e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.756783 -2.490e-01 1.953e-02 -6.217e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.766782 -2.832e-01 -2.930e-02 -6.158e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.776783 -3.320e-01 -6.836e-02 -6.012e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.786783 -3.955e-01 -1.172e-01 -5.779e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.796782 -4.785e-01 -1.416e-01 -5.575e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.806783 -5.664e-01 -2.100e-01 -5.078e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.816782 -6.689e-01 -2.441e-01 -4.611e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.826782 -7.959e-01 -2.832e-01 -4.086e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.836783 -9.521e-01 -3.223e-01 -3.532e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.846782 -1.118e+00 -3.564e-01 -2.860e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.856782 -1.304e+00 -4.004e-01 -2.189e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.866782 -1.509e+00 -4.395e-01 -1.401e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
1.876782 -1.729e+00 -4.688e-01 -7.005e-05 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
