# PCChua Data Acquisition and Control Software
# Date: Fri Aug 29 07:16:54 1997
# 
# Experiment: Chua's Circuit Perturbation.
#
# Ts = 10.00 ms
#
# Columns (10): 
# (time)  (x  y  z)  (xref  yref  zref)  (ux  uy  uz)

1.390234 1.465e+00 -6.641e-01 -5.341e-04 -2.879e-04 -2.879e-04 -2.879e-01 -2.894e-04 -2.894e-04 -2.549e-01
1.400234 1.377e+00 -6.543e-01 -4.436e-04 7.352e-06 7.352e-06 7.352e-03 6.105e-06 6.105e-06 1.961e-02
1.410234 1.299e+00 -6.152e-01 -3.065e-04 2.998e-04 2.998e-04 2.998e-01 2.991e-04 2.991e-04 3.333e-01
1.420234 1.235e+00 -5.664e-01 -1.430e-04 4.777e-04 4.777e-04 4.777e-01 4.774e-04 4.774e-04 4.902e-01
1.430234 1.196e+00 -4.980e-01 3.210e-05 4.732e-04 4.732e-04 4.732e-01 4.725e-04 4.725e-04 4.902e-01
1.440234 1.157e+00 -4.248e-01 1.839e-04 2.879e-04 2.879e-04 2.879e-01 2.869e-04 2.869e-04 2.941e-01
1.450234 1.123e+00 -3.564e-01 2.568e-04 -7.350e-06 -7.350e-06 -7.350e-03 -8.547e-06 -8.547e-06 1.961e-02
1.460233 1.113e+00 -3.027e-01 2.860e-04 -2.998e-04 -2.998e-04 -2.998e-01 -3.016e-04 -3.016e-04 -2.941e-01
1.470234 1.084e+00 -2.734e-01 2.568e-04 -4.777e-04 -4.777e-04 -4.777e-01 -4.799e-04 -4.799e-04 -4.510e-01
1.480235 1.055e+00 -2.295e-01 2.043e-04 -4.732e-04 -4.732e-04 -4.732e-01 -4.750e-04 -4.750e-04 -4.510e-01
1.490234 1.040e+00 -2.002e-01 1.751e-04 -2.879e-04 -2.879e-04 -2.879e-01 -2.894e-04 -2.894e-04 -2.549e-01
1.500234 1.055e+00 -1.660e-01 1.839e-04 7.353e-06 7.353e-06 7.353e-03 6.105e-06 6.105e-06 1.961e-02
1.510234 1.094e+00 -1.074e-01 2.364e-04 2.998e-04 2.998e-04 2.998e-01 2.991e-04 2.991e-04 3.333e-01
1.520234 1.143e+00 -4.395e-02 3.181e-04 4.777e-04 4.777e-04 4.777e-01 4.774e-04 4.774e-04 4.902e-01
1.530235 1.230e+00 3.906e-02 3.998e-04 4.732e-04 4.732e-04 4.732e-01 4.725e-04 4.725e-04 4.902e-01
1.540235 1.333e+00 1.172e-01 4.582e-04 2.879e-04 2.879e-04 2.879e-01 2.869e-04 2.869e-04 2.941e-01
1.550233 1.450e+00 1.953e-01 4.495e-04 -7.329e-06 -7.329e-06 -7.329e-03 -8.547e-06 -8.547e-06 1.961e-02
1.560235 1.597e+00 2.490e-01 3.853e-04 -2.998e-04 -2.998e-04 -2.998e-01 -3.016e-04 -3.016e-04 -2.941e-01
1.570233 1.738e+00 2.979e-01 2.656e-04 -4.777e-04 -4.777e-04 -4.777e-01 -4.799e-04 -4.799e-04 -4.510e-01
1.580233 1.904e+00 3.223e-01 1.430e-04 -4.732e-04 -4.732e-04 -4.732e-01 -4.750e-04 -4.750e-04 -4.510e-01
1.590234 2.056e+00 3.564e-01 1.751e-05 -2.879e-04 -2.879e-04 -2.879e-01 -2.894e-04 -2.894e-04 -2.549e-01
1.600233 2.222e+00 4.004e-01 -7.588e-05 7.335e-06 7.335e-06 7.335e-03 6.105e-06 6.105e-06 1.961e-02
1.610234 2.402e+00 4.639e-01 -1.197e-04 2.998e-04 2.998e-04 2.998e-01 2.991e-04 2.991e-04 3.333e-01
1.620234 2.598e+00 5.176e-01 -1.226e-04 4.778e-04 4.778e-04 4.778e-01 4.774e-04 4.774e-04 4.902e-01
1.630234 2.793e+00 5.957e-01 -1.197e-04 4.732e-04 4.732e-04 4.732e-01 4.725e-04 4.725e-04 4.902e-01
